ID,Distance,Contained,NPolys
aari1239,0,True,1
abad1241,0,False,1
abag1245,0,True,1
abai1240,0.047652436112885416,False,1
abar1238,0.018916820756693074,False,1
abau1245,0,True,1
abee1242,0.06559244037971161,False,1
aben1249,0,True,1
abid1235,0,True,1
abip1241,0.238051096840769,False,1
abis1238,0,True,1
abkh1244,0,False,2
abro1238,0,False,1
abua1244,0,True,1
abui1241,0,True,1
abun1252,0,False,1
abur1243,0,True,1
abuu1241,0,True,1
acha1249,0.4960680208699647,False,4
acha1250,0,True,3
achi1257,0,True,6
achu1247,0,True,1
acol1236,0,True,1
acro1239,0,True,1
adai1235,1.3169044736870257,False,1
adan1247,0.18745393985816342,False,3
adas1235,0,True,1
adel1244,0,True,1
adho1243,0,True,1
adio1239,0,True,1
adny1235,0,True,1
adyg1241,0,True,1
adze1240,0,True,1
aeka1244,0.11676001295443486,False,1
aeky1238,0,True,1
afad1236,0.02923112140526769,False,1
afar1241,0,True,1
afit1238,0.5178369511027257,False,1
afri1274,0,False,10
agat1236,0,False,3
aghe1239,0,True,2
aghu1253,0,False,1
aghu1255,0,True,1
agii1245,0,True,1
agob1244,0,True,1
agoi1246,0.4382681110808875,False,1
agua1252,0.06543450889749376,False,1
agua1253,0,True,1
agus1235,0,True,1
agut1237,0,True,13
agwa1247,0.06837555425972396,False,1
ahan1243,0,True,1
aheu1239,0.29647574631740703,False,2
ahte1237,0,True,1
ahwa1235,0,True,1
aika1237,0.20136494941892472,False,1
aima1241,1.7162952802969682,False,3
aime1238,0,True,1
ainu1251,0.1606398584032054,False,3
aiom1240,0,True,1
airo1242,0,True,1
ajab1235,0.03610008837337975,False,1
ajas1235,0.8983166228474371,False,1
ajie1238,0,True,1
akan1250,0,True,3
akas1242,0.002897908545576746,False,1
akeb1238,0,True,1
akee1238,0.17913663610825098,False,1
akei1237,0,True,1
akeu1235,0.531336136930712,False,1
akha1245,0,True,20
akkk1240,0,True,1
akla1240,0,True,7
akoo1248,0,True,1
akoy1238,0,True,1
akpe1248,0.1581762690998101,False,1
akru1241,0,True,1
akur1238,2.525160993580487,False,1
akwa1248,0.3044979846461242,False,1
alab1237,6.890266915282474,False,1
alab1254,0.1548913086473347,False,1
alag1242,0,False,4
alag1248,0.041718500135345254,False,1
alak1253,0.4554125673091455,False,1
alam1246,0,True,1
alan1249,0,True,1
alaw1244,0,True,1
alba1269,0,True,1
aleg1238,0.09686755942663726,False,1
aleu1260,11.23839545455122,False,3
alge1239,0,True,2
alge1240,0,True,2
algo1255,0,True,1
alii1240,0.10691100477333212,False,1
alla1248,0,True,1
alle1238,1.4889334567447934,False,1
alse1251,0,True,1
alum1246,0.08698505801661874,False,1
alun1238,0,True,1
aluo1235,0.11489787673486256,False,4
alur1250,0,True,1
alya1239,0.09905163009524497,False,1
amah1245,0,True,1
amah1246,0,False,1
amai1246,0,True,1
amal1242,0.03872026780340119,False,1
aman1266,0,True,2
amap1240,0,True,1
amar1271,0,True,1
amar1272,0,False,1
amar1274,0,True,1
amba1263,0.15532258853577458,False,1
amba1265,0,True,3
amba1267,0,False,1
amba1269,0,True,1
ambe1247,0.015528059607681825,False,1
ambe1248,0,True,2
ambl1237,0,True,1
ambu1247,0,True,1
amdo1237,0,True,3
amel1241,0,True,1
amha1245,0,True,3
amis1246,0,True,5
amol1235,0.013242880364508871,False,1
amoo1242,0,True,1
amto1250,0,True,1
anaa1238,0,False,1
anak1240,0,True,1
anal1239,0.0355549193266576,False,2
anam1247,0.0030676392399281113,False,1
anam1248,0,True,1
anda1284,0,True,1
anda1286,1.1463115243156987,False,1
ande1247,0,True,1
andi1255,0,True,1
andi1257,0.02101567521845382,False,2
ando1254,0.2041741434704181,False,1
anei1239,0,True,1
anem1248,0,True,1
anem1249,0,True,1
