ID,Spread,NPolys
achi1257,1.8208341134265407,6
afri1274,4.396500189986552,10
ainu1251,2.4528912169987254,3
akha1245,1.4728349419130873,20
aleu1260,188.011216206483,3
aman1266,1.1650914965095176,2
anal1239,1.8450013438704302,2
andi1257,1.2859441050067377,2
arac1235,2.20202282996349,2
arop1243,1.5553596807155152,4
assa1263,2.117414207008196,6
baba1273,1.7761653678668818,2
bagh1251,3.016495401752605,3
baka1272,1.3918319505416061,2
bamb1269,1.8766397636562984,4
band1343,1.6210801615007155,4
band1344,1.0778086651768073,8
bang1354,1.727299477608966,6
basa1286,1.7518212349359195,3
bash1264,2.441857647541455,6
bass1258,2.0270279365146986,3
beja1238,2.328660141869655,4
beng1280,2.066616077022801,10
biak1248,2.451055373389648,14
bier1246,1.271135494228773,2
binj1249,1.69309874652943,3
bogh1241,1.380011805035432,2
bola1250,3.406694119287371,2
boma1251,1.2556878529221431,2
bomk1234,1.4291591240872321,2
bona1250,15.738049894448848,3
bong1285,1.2784423045071904,2
boro1282,1.3166134657816078,2
bouy1240,2.1738034720866555,17
bugi1244,1.420316566890624,33
bulg1262,1.7404885062046311,2
bulu1251,1.2991948107333435,2
bung1269,1.0037662883710519,15
burj1242,1.6046703711930155,3
caac1237,2.597323005812068,2
caol1238,4.311676858840292,2
caro1242,1.516707894528079,3
cebu1242,2.1233608518922207,42
cent1989,1.3681653777580507,8
cent2004,1.5662623187537432,2
cham1312,1.837960731841279,10
chav1241,3.426146383208648,9
chen1266,1.9214326556154782,4
chha1249,5.7656656177881915,2
chil1280,2.498561921194609,2
chok1245,2.8192706127267018,2
chuk1273,3.915557941218535,4
chuv1255,2.6414334301761255,2
clas1252,1.3839023744375232,3
dani1285,9.695844889154927,8
dann1241,1.1013660385032582,3
daza1242,4.760607323210348,2
deor1238,1.4638720964889695,4
east2304,1.513785047888499,6
east2337,2.0210630534743914,2
east2534,9.186733472895531,9
east2563,1.5968522359507553,5
east2652,2.362428761198458,2
egyp1253,1.8873869981469333,3
esee1248,9.33766747438632,2
even1259,16.444033487398894,19
even1260,10.456579543804828,10
fang1246,1.4508761256427698,5
furr1244,3.3012040591971523,2
gali1262,3.6125171291701506,3
gilb1244,1.7353652495026033,23
gulf1241,3.6088059432709017,2
gumu1244,2.734983188617757,2
hadi1240,1.5657597979661144,3
hakk1236,4.40289900374653,4
haus1257,3.3346397772670953,6
here1253,2.269677203947155,6
hija1235,2.3703688630401767,2
hili1240,1.9677733359734757,21
hung1275,1.7431652798975272,8
iban1264,2.0900829143006407,6
igal1242,1.8595212102131973,2
ilok1237,3.4850851809202013,9
indo1317,4.3719079880688785,17
irig1242,2.231083577806831,19
java1254,1.9493758162209862,12
jeha1242,2.1819950214977735,15
jeme1245,1.4552868731971582,2
juru1256,1.6679536614658261,3
kaan1247,1.3720804915800928,2
kaba1278,1.1526116625834473,3
kaba1281,2.271887788125659,4
kabw1242,1.2508978823472237,2
kadi1248,1.1127143686131642,2
kain1272,2.234182197718249,3
kako1242,1.941975109109837,2
kala1384,1.624587454965942,4
kala1399,2.911297103335744,10
kalm1243,17.757656722709207,10
kaon1241,1.3018688991209826,4
kara1465,3.2343879440076546,2
kara1467,7.41849830028356,3
karo1305,9.839786418592084,2
kaya1330,1.6954510526486706,2
kaza1248,9.386251531623127,44
kenu1236,7.187752346041404,2
kett1243,4.263686780379395,2
kham1282,2.9520151833251838,8
khmu1256,1.9670831039367807,16
khun1259,1.5791141133852458,7
kirg1245,4.4513542364453835,10
koal1240,1.6297156458310955,4
komi1268,3.405901621207766,3
kono1265,1.3487466620114756,2
kore1280,4.435217403506877,219
kory1246,3.788990242265739,3
kuli1255,1.6390692557207382,2
kulu1255,2.4037836923447142,2
kuru1301,1.4499100818037667,4
kuyy1240,1.100137689938519,12
